Time,BP Count (1 BP),Customers Served (3 BP),Customers Served (2 BP),Customers Served (1 BP)
7:00:00,14,0,0,0
7:01:40,13,1,0,0
7:03:20,12,1,0,0
7:05:00,11,1,0,0
7:06:40,10,1,1,0
7:08:20,9,1,1,0
7:10:00,8,1,1,1
7:11:40,7,1,1,2
7:13:20,6,1,1,3
7:15:00,5,1,1,4
7:16:40,4,1,1,5
7:18:20,3,1,1,6
7:20:00,2,1,1,7
7:21:40,1,1,1,8
7:23:20,0,1,1,9
8:34:40,1,2,1,9
8:36:20,1,2,1,9
8:38:00,1,2,1,9
8:39:40,1,2,2,9
8:41:20,1,2,2,9
8:43:00,1,2,2,10
8:44:40,1,2,2,11
8:46:20,1,2,2,12
8:48:00,1,2,2,13
8:49:40,1,2,2,14
8:51:20,1,2,2,15
8:53:00,1,2,2,16
8:54:40,1,2,2,17
8:56:20,1,2,2,18
10:07:40,1,3,2,18
10:09:20,1,3,2,18
10:11:00,1,3,2,18
10:12:40,1,3,3,18
10:14:20,1,3,3,18
10:16:00,1,3,3,19
10:17:40,1,3,3,20
10:19:20,1,3,3,21
10:21:00,1,3,3,22
10:22:40,1,3,3,23
10:24:20,1,3,3,24
10:26:00,1,3,3,25
10:27:40,1,3,3,26
10:29:20,1,3,3,27
11:40:40,1,4,3,27
11:42:20,1,4,3,27
11:44:00,1,4,3,27
11:45:40,1,4,4,27
11:47:20,1,4,4,27
11:49:00,1,4,4,28
11:50:40,1,4,4,29
11:52:20,1,4,4,30
11:54:00,1,4,4,31
11:55:40,1,4,4,32
11:57:20,1,4,4,33
11:59:00,1,4,4,34
12:00:40,1,4,4,35
12:02:20,1,4,4,36
13:13:40,1,5,4,36
13:15:20,1,5,4,36
13:17:00,1,5,4,36
13:18:40,1,5,5,36
13:20:20,1,5,5,36
13:22:00,1,5,5,37
13:23:40,1,5,5,38
13:25:20,1,5,5,39
13:27:00,1,5,5,40
13:28:40,1,5,5,41
13:30:20,1,5,5,42
13:32:00,1,5,5,43
13:33:40,1,5,5,44
13:35:20,1,5,5,45
14:46:40,1,6,5,45
14:48:20,1,6,5,45
14:50:00,1,6,5,45
14:51:40,1,6,6,45
14:53:20,1,6,6,45
14:55:00,1,6,6,46
14:56:40,1,6,6,47
14:58:20,1,6,6,48
15:00:00,1,6,6,49
15:01:40,1,6,6,50
15:03:20,1,6,6,51
15:05:00,1,6,6,52
15:06:40,1,6,6,53
15:08:20,1,6,6,54
16:19:40,1,7,6,54
16:21:20,1,7,6,54
16:23:00,1,7,6,54
16:24:40,1,7,7,54
16:26:20,1,7,7,54
16:28:00,1,7,7,55
16:29:40,1,7,7,56
16:31:20,1,7,7,57
16:33:00,1,7,7,58
16:34:40,1,7,7,59
16:36:20,1,7,7,60
16:38:00,1,7,7,61
16:39:40,1,7,7,62
16:41:20,1,7,7,63
17:52:40,1,8,7,63
17:54:20,1,8,7,63
17:56:00,1,8,7,63
17:57:40,1,8,8,63
17:59:20,1,8,8,63
18:01:00,1,8,8,64
18:02:40,1,8,8,65
18:04:20,1,8,8,66
18:06:00,1,8,8,67
18:07:40,1,8,8,68
18:09:20,1,8,8,69
18:11:00,1,8,8,70
18:12:40,1,8,8,71
18:14:20,1,8,8,72
19:25:40,1,9,8,72
19:27:20,1,9,8,72
19:29:00,1,9,8,72
19:30:40,1,9,9,72
19:32:20,1,9,9,72
19:34:00,1,9,9,73
19:35:40,1,9,9,74
19:37:20,1,9,9,75
19:39:00,1,9,9,76
19:40:40,1,9,9,77
19:42:20,1,9,9,78
19:44:00,1,9,9,79
19:45:40,1,9,9,80
19:47:20,1,9,9,81
20:58:40,1,10,9,81
21:00:20,1,10,9,81
21:02:00,1,10,9,81
21:03:40,1,10,10,81
21:05:20,1,10,10,81
21:07:00,1,10,10,82
21:08:40,1,10,10,83
21:10:20,1,10,10,84
21:12:00,1,10,10,85
21:13:40,1,10,10,86
21:15:20,1,10,10,87
21:17:00,1,10,10,88
21:18:40,1,10,10,89
21:20:20,1,10,10,90
22:31:40,1,11,10,90
22:33:20,1,11,10,90
22:35:00,1,11,10,90
22:36:40,1,11,11,90
22:38:20,1,11,11,90
22:40:00,1,11,11,91
22:41:40,1,11,11,92
22:43:20,1,11,11,93
22:45:00,1,11,11,94
22:46:40,1,11,11,95
22:48:20,1,11,11,96
22:50:00,1,11,11,97
22:51:40,1,11,11,98
22:53:20,1,11,11,99
