Time,BP Count,Batteries Taken,Customers Served (1 BP)
7:00:00,29,-,0
7:01:45,28,1,1
7:03:30,27,1,2
7:05:15,26,1,3
7:07:00,25,1,4
7:08:45,24,1,5
7:10:30,23,1,6
7:12:15,22,1,7
7:14:00,21,1,8
7:15:45,20,1,9
7:17:30,19,1,10
7:19:15,18,1,11
7:21:00,17,1,12
7:22:45,16,1,13
7:24:30,15,1,14
7:26:15,14,1,15
7:28:00,13,1,16
7:29:45,12,1,17
7:31:30,11,1,18
7:33:15,10,1,19
7:35:00,9,1,20
7:36:45,8,1,21
7:38:30,7,1,22
7:40:15,6,1,23
7:42:00,5,1,24
7:43:45,4,1,25
7:45:30,3,1,26
7:47:15,2,1,27
7:49:00,1,1,28
7:50:45,0,1,29
8:34:45,1,1,30
8:36:30,1,1,31
8:38:15,1,1,32
8:40:00,1,1,33
8:41:45,1,1,34
8:43:30,1,1,35
8:45:15,1,1,36
8:47:00,1,1,37
8:48:45,1,1,38
8:50:30,1,1,39
8:52:15,1,1,40
8:54:00,1,1,41
8:55:45,1,1,42
8:57:30,1,1,43
8:59:15,1,1,44
9:01:00,1,1,45
9:02:45,1,1,46
9:04:30,1,1,47
9:06:15,1,1,48
9:08:00,1,1,49
9:09:45,1,1,50
9:11:30,1,1,51
9:13:15,1,1,52
9:15:00,1,1,53
9:16:45,1,1,54
9:18:30,1,1,55
9:20:15,1,1,56
9:22:00,1,1,57
9:23:45,1,1,58
10:07:45,1,1,59
10:09:30,1,1,60
10:11:15,1,1,61
10:13:00,1,1,62
10:14:45,1,1,63
10:16:30,1,1,64
10:18:15,1,1,65
10:20:00,1,1,66
10:21:45,1,1,67
10:23:30,1,1,68
10:25:15,1,1,69
10:27:00,1,1,70
10:28:45,1,1,71
10:30:30,1,1,72
10:32:15,1,1,73
10:34:00,1,1,74
10:35:45,1,1,75
10:37:30,1,1,76
10:39:15,1,1,77
10:41:00,1,1,78
10:42:45,1,1,79
10:44:30,1,1,80
10:46:15,1,1,81
10:48:00,1,1,82
10:49:45,1,1,83
10:51:30,1,1,84
10:53:15,1,1,85
10:55:00,1,1,86
10:56:45,1,1,87
11:40:45,1,1,88
11:42:30,1,1,89
11:44:15,1,1,90
11:46:00,1,1,91
11:47:45,1,1,92
11:49:30,1,1,93
11:51:15,1,1,94
11:53:00,1,1,95
11:54:45,1,1,96
11:56:30,1,1,97
11:58:15,1,1,98
12:00:00,1,1,99
12:01:45,1,1,100
12:03:30,1,1,101
12:05:15,1,1,102
12:07:00,1,1,103
12:08:45,1,1,104
12:10:30,1,1,105
12:12:15,1,1,106
12:14:00,1,1,107
12:15:45,1,1,108
12:17:30,1,1,109
12:19:15,1,1,110
12:21:00,1,1,111
12:22:45,1,1,112
12:24:30,1,1,113
12:26:15,1,1,114
12:28:00,1,1,115
12:29:45,1,1,116
13:13:45,1,1,117
13:15:30,1,1,118
13:17:15,1,1,119
13:19:00,1,1,120
13:20:45,1,1,121
13:22:30,1,1,122
13:24:15,1,1,123
13:26:00,1,1,124
13:27:45,1,1,125
13:29:30,1,1,126
13:31:15,1,1,127
13:33:00,1,1,128
13:34:45,1,1,129
13:36:30,1,1,130
13:38:15,1,1,131
13:40:00,1,1,132
13:41:45,1,1,133
13:43:30,1,1,134
13:45:15,1,1,135
13:47:00,1,1,136
13:48:45,1,1,137
13:50:30,1,1,138
13:52:15,1,1,139
13:54:00,1,1,140
13:55:45,1,1,141
13:57:30,1,1,142
13:59:15,1,1,143
14:01:00,1,1,144
14:02:45,1,1,145
14:46:45,1,1,146
14:48:30,1,1,147
14:50:15,1,1,148
14:52:00,1,1,149
14:53:45,1,1,150
14:55:30,1,1,151
14:57:15,1,1,152
14:59:00,1,1,153
15:00:45,1,1,154
15:02:30,1,1,155
15:04:15,1,1,156
15:06:00,1,1,157
15:07:45,1,1,158
15:09:30,1,1,159
15:11:15,1,1,160
15:13:00,1,1,161
15:14:45,1,1,162
15:16:30,1,1,163
15:18:15,1,1,164
15:20:00,1,1,165
15:21:45,1,1,166
15:23:30,1,1,167
15:25:15,1,1,168
15:27:00,1,1,169
15:28:45,1,1,170
15:30:30,1,1,171
15:32:15,1,1,172
15:34:00,1,1,173
15:35:45,1,1,174
16:19:45,1,1,175
16:21:30,1,1,176
16:23:15,1,1,177
16:25:00,1,1,178
16:26:45,1,1,179
16:28:30,1,1,180
16:30:15,1,1,181
16:32:00,1,1,182
16:33:45,1,1,183
16:35:30,1,1,184
16:37:15,1,1,185
16:39:00,1,1,186
16:40:45,1,1,187
16:42:30,1,1,188
16:44:15,1,1,189
16:46:00,1,1,190
16:47:45,1,1,191
16:49:30,1,1,192
16:51:15,1,1,193
16:53:00,1,1,194
16:54:45,1,1,195
16:56:30,1,1,196
16:58:15,1,1,197
17:00:00,1,1,198
17:01:45,1,1,199
17:03:30,1,1,200
17:05:15,1,1,201
17:07:00,1,1,202
17:08:45,1,1,203
17:52:45,1,1,204
17:54:30,1,1,205
17:56:15,1,1,206
17:58:00,1,1,207
17:59:45,1,1,208
18:01:30,1,1,209
18:03:15,1,1,210
18:05:00,1,1,211
18:06:45,1,1,212
18:08:30,1,1,213
18:10:15,1,1,214
18:12:00,1,1,215
18:13:45,1,1,216
