Time,BP Count ,Customers Served (3 BP),Customers Served (2 BP),Customers Served (1 BP)
7:00:00,29,0,0,0
7:01:40,28,1,0,0
7:03:20,27,1,0,0
7:05:00,26,1,0,0
7:06:40,25,1,1,0
7:08:20,24,1,1,0
7:10:00,23,2,1,0
7:11:40,22,2,1,0
7:13:20,21,2,1,0
7:15:00,20,2,2,0
7:16:40,19,2,2,0
7:18:20,18,2,2,1
7:20:00,17,2,2,2
7:21:40,16,2,2,3
7:23:20,15,2,2,4
7:25:00,14,2,2,5
7:26:40,13,2,2,6
7:28:20,12,2,2,7
7:30:00,11,2,2,8
7:31:40,10,2,2,9
7:33:20,9,2,2,10
7:35:00,8,2,2,11
7:36:40,7,2,2,12
7:38:20,6,2,2,13
7:40:00,5,2,2,14
7:41:40,4,2,2,15
7:43:20,3,2,2,16
7:45:00,2,2,2,17
7:46:40,1,2,2,18
7:48:20,0,2,2,19
8:34:40,1,3,2,19
8:36:20,1,3,2,19
8:38:00,1,3,2,19
8:39:40,1,3,3,19
8:41:20,1,3,3,19
8:43:00,1,4,3,19
8:44:40,1,4,3,19
8:46:20,1,4,3,19
8:48:00,1,4,4,19
8:49:40,1,4,4,19
8:51:20,1,4,4,20
8:53:00,1,4,4,21
8:54:40,1,4,4,22
8:56:20,1,4,4,23
8:58:00,1,4,4,24
8:59:40,1,4,4,25
9:01:20,1,4,4,26
9:03:00,1,4,4,27
9:04:40,1,4,4,28
9:06:20,1,4,4,29
9:08:00,1,4,4,30
9:09:40,1,4,4,31
9:11:20,1,4,4,32
9:13:00,1,4,4,33
9:14:40,1,4,4,34
9:16:20,1,4,4,35
9:18:00,1,4,4,36
9:19:40,1,4,4,37
9:21:20,1,4,4,38
10:07:40,1,5,4,38
10:09:20,1,5,4,38
10:11:00,1,5,4,38
10:12:40,1,5,5,38
10:14:20,1,5,5,38
10:16:00,1,6,5,38
10:17:40,1,6,5,38
10:19:20,1,6,5,38
10:21:00,1,6,6,38
10:22:40,1,6,6,38
10:24:20,1,6,6,39
10:26:00,1,6,6,40
10:27:40,1,6,6,41
10:29:20,1,6,6,42
10:31:00,1,6,6,43
10:32:40,1,6,6,44
10:34:20,1,6,6,45
10:36:00,1,6,6,46
10:37:40,1,6,6,47
10:39:20,1,6,6,48
10:41:00,1,6,6,49
10:42:40,1,6,6,50
10:44:20,1,6,6,51
10:46:00,1,6,6,52
10:47:40,1,6,6,53
10:49:20,1,6,6,54
10:51:00,1,6,6,55
10:52:40,1,6,6,56
10:54:20,1,6,6,57
11:40:40,1,7,6,57
11:42:20,1,7,6,57
11:44:00,1,7,6,57
11:45:40,1,7,7,57
11:47:20,1,7,7,57
11:49:00,1,8,7,57
11:50:40,1,8,7,57
11:52:20,1,8,7,57
11:54:00,1,8,8,57
11:55:40,1,8,8,57
11:57:20,1,8,8,58
11:59:00,1,8,8,59
12:00:40,1,8,8,60
12:02:20,1,8,8,61
12:04:00,1,8,8,62
12:05:40,1,8,8,63
12:07:20,1,8,8,64
12:09:00,1,8,8,65
12:10:40,1,8,8,66
12:12:20,1,8,8,67
12:14:00,1,8,8,68
12:15:40,1,8,8,69
12:17:20,1,8,8,70
12:19:00,1,8,8,71
12:20:40,1,8,8,72
12:22:20,1,8,8,73
12:24:00,1,8,8,74
12:25:40,1,8,8,75
12:27:20,1,8,8,76
13:13:40,1,9,8,76
13:15:20,1,9,8,76
13:17:00,1,9,8,76
13:18:40,1,9,9,76
13:20:20,1,9,9,76
13:22:00,1,10,9,76
13:23:40,1,10,9,76
13:25:20,1,10,9,76
13:27:00,1,10,10,76
13:28:40,1,10,10,76
13:30:20,1,10,10,77
13:32:00,1,10,10,78
13:33:40,1,10,10,79
13:35:20,1,10,10,80
13:37:00,1,10,10,81
13:38:40,1,10,10,82
13:40:20,1,10,10,83
13:42:00,1,10,10,84
13:43:40,1,10,10,85
13:45:20,1,10,10,86
13:47:00,1,10,10,87
13:48:40,1,10,10,88
13:50:20,1,10,10,89
13:52:00,1,10,10,90
13:53:40,1,10,10,91
13:55:20,1,10,10,92
13:57:00,1,10,10,93
13:58:40,1,10,10,94
14:00:20,1,10,10,95
14:46:40,1,11,10,95
14:48:20,1,11,10,95
14:50:00,1,11,10,95
14:51:40,1,11,11,95
14:53:20,1,11,11,95
14:55:00,1,12,11,95
14:56:40,1,12,11,95
14:58:20,1,12,11,95
15:00:00,1,12,12,95
15:01:40,1,12,12,95
15:03:20,1,12,12,96
15:05:00,1,12,12,97
15:06:40,1,12,12,98
15:08:20,1,12,12,99
15:10:00,1,12,12,100
15:11:40,1,12,12,101
15:13:20,1,12,12,102
15:15:00,1,12,12,103
15:16:40,1,12,12,104
15:18:20,1,12,12,105
15:20:00,1,12,12,106
15:21:40,1,12,12,107
15:23:20,1,12,12,108
15:25:00,1,12,12,109
15:26:40,1,12,12,110
15:28:20,1,12,12,111
15:30:00,1,12,12,112
15:31:40,1,12,12,113
15:33:20,1,12,12,114
16:19:40,1,13,12,114
16:21:20,1,13,12,114
16:23:00,1,13,12,114
16:24:40,1,13,13,114
16:26:20,1,13,13,114
16:28:00,1,14,13,114
16:29:40,1,14,13,114
16:31:20,1,14,13,114
16:33:00,1,14,14,114
16:34:40,1,14,14,114
16:36:20,1,14,14,115
16:38:00,1,14,14,116
16:39:40,1,14,14,117
16:41:20,1,14,14,118
16:43:00,1,14,14,119
16:44:40,1,14,14,120
16:46:20,1,14,14,121
16:48:00,1,14,14,122
16:49:40,1,14,14,123
16:51:20,1,14,14,124
16:53:00,1,14,14,125
16:54:40,1,14,14,126
16:56:20,1,14,14,127
16:58:00,1,14,14,128
16:59:40,1,14,14,129
17:01:20,1,14,14,130
17:03:00,1,14,14,131
17:04:40,1,14,14,132
