Time,BP Count ,Customers Served (3 BP),Customers Served (2 BP),Customers Served (1 BP)
7:00:00,14,0,0,0
7:01:40,13,2,0,0
7:03:20,12,2,0,0
7:05:00,11,2,0,0
7:06:40,10,2,2,0
7:08:20,9,2,2,0
7:10:00,8,2,2,2
7:11:40,7,2,2,4
7:13:20,6,2,2,6
7:15:00,5,2,2,8
7:16:40,4,2,2,10
7:18:20,3,2,2,12
7:20:00,2,2,2,14
7:21:40,1,2,2,16
7:23:20,0,2,2,18
8:34:40,1,4,2,18
8:36:20,1,4,2,18
8:38:00,1,4,2,18
8:39:40,1,4,4,18
8:41:20,1,4,4,18
8:43:00,1,4,4,20
8:44:40,1,4,4,22
8:46:20,1,4,4,24
8:48:00,1,4,4,26
8:49:40,1,4,4,28
8:51:20,1,4,4,30
8:53:00,1,4,4,32
8:54:40,1,4,4,34
8:56:20,1,4,4,36
10:07:40,1,6,4,36
10:09:20,1,6,4,36
10:11:00,1,6,4,36
10:12:40,1,6,6,36
10:14:20,1,6,6,36
10:16:00,1,6,6,38
10:17:40,1,6,6,40
10:19:20,1,6,6,42
10:21:00,1,6,6,44
10:22:40,1,6,6,46
10:24:20,1,6,6,48
10:26:00,1,6,6,50
10:27:40,1,6,6,52
10:29:20,1,6,6,54
11:40:40,1,8,6,54
11:42:20,1,8,6,54
11:44:00,1,8,6,54
11:45:40,1,8,8,54
11:47:20,1,8,8,54
11:49:00,1,8,8,56
11:50:40,1,8,8,58
11:52:20,1,8,8,60
11:54:00,1,8,8,62
11:55:40,1,8,8,64
11:57:20,1,8,8,66
11:59:00,1,8,8,68
12:00:40,1,8,8,70
12:02:20,1,8,8,72
13:13:40,1,10,8,72
13:15:20,1,10,8,72
13:17:00,1,10,8,72
13:18:40,1,10,10,72
13:20:20,1,10,10,72
13:22:00,1,10,10,74
13:23:40,1,10,10,76
13:25:20,1,10,10,78
13:27:00,1,10,10,80
13:28:40,1,10,10,82
13:30:20,1,10,10,84
13:32:00,1,10,10,86
13:33:40,1,10,10,88
13:35:20,1,10,10,90
14:46:40,1,12,10,90
14:48:20,1,12,10,90
14:50:00,1,12,10,90
14:51:40,1,12,12,90
14:53:20,1,12,12,90
14:55:00,1,12,12,92
14:56:40,1,12,12,94
14:58:20,1,12,12,96
15:00:00,1,12,12,98
15:01:40,1,12,12,100
15:03:20,1,12,12,102
15:05:00,1,12,12,104
15:06:40,1,12,12,106
15:08:20,1,12,12,108
16:19:40,1,14,12,108
16:21:20,1,14,12,108
16:23:00,1,14,12,108
16:24:40,1,14,14,108
16:26:20,1,14,14,108
16:28:00,1,14,14,110
16:29:40,1,14,14,112
16:31:20,1,14,14,114
16:33:00,1,14,14,116
16:34:40,1,14,14,118
16:36:20,1,14,14,120
16:38:00,1,14,14,122
16:39:40,1,14,14,124
16:41:20,1,14,14,126
17:52:40,1,16,14,126
17:54:20,1,16,14,126
17:56:00,1,16,14,126
17:57:40,1,16,16,126
17:59:20,1,16,16,126
18:01:00,1,16,16,128
18:02:40,1,16,16,130
18:04:20,1,16,16,132
18:06:00,1,16,16,134
18:07:40,1,16,16,136
18:09:20,1,16,16,138
18:11:00,1,16,16,140
18:12:40,1,16,16,142
18:14:20,1,16,16,144
19:25:40,1,18,16,144
19:27:20,1,18,16,144
19:29:00,1,18,16,144
19:30:40,1,18,18,144
19:32:20,1,18,18,144
19:34:00,1,18,18,146
19:35:40,1,18,18,148
19:37:20,1,18,18,150
19:39:00,1,18,18,152
19:40:40,1,18,18,154
19:42:20,1,18,18,156
19:44:00,1,18,18,158
19:45:40,1,18,18,160
19:47:20,1,18,18,162
20:58:40,1,20,18,162
21:00:20,1,20,18,162
21:02:00,1,20,18,162
21:03:40,1,20,20,162
21:05:20,1,20,20,162
21:07:00,1,20,20,164
21:08:40,1,20,20,166
21:10:20,1,20,20,168
21:12:00,1,20,20,170
21:13:40,1,20,20,172
21:15:20,1,20,20,174
21:17:00,1,20,20,176
21:18:40,1,20,20,178
21:20:20,1,20,20,180
22:31:40,1,22,20,180
22:33:20,1,22,20,180
22:35:00,1,22,20,180
22:36:40,1,22,22,180
22:38:20,1,22,22,180
22:40:00,1,22,22,182
22:41:40,1,22,22,184
22:43:20,1,22,22,186
22:45:00,1,22,22,188
22:46:40,1,22,22,190
22:48:20,1,22,22,192
22:50:00,1,22,22,194
22:51:40,1,22,22,196
22:53:20,1,22,22,198
