Time,BP Count,Batteries Taken,Customers Served (2 BP)
7:00:00,42,-,0
7:01:20,39,3,3
7:02:40,36,3,3
7:04:00,33,3,6
7:05:20,30,3,6
7:06:40,27,3,9
7:08:00,24,3,9
7:09:20,21,3,12
7:10:40,18,3,12
7:12:00,15,3,15
7:13:20,12,3,15
7:14:40,9,3,18
7:16:00,6,3,18
7:17:20,3,3,21
7:18:40,0,3,21
8:34:20,3,3,24
8:35:40,3,3,24
8:37:00,3,3,27
8:38:20,3,3,27
8:39:40,3,3,30
8:41:00,3,3,30
8:42:20,3,3,33
8:43:40,3,3,33
8:45:00,3,3,36
8:46:20,3,3,36
8:47:40,3,3,39
8:49:00,3,3,39
8:50:20,3,3,42
8:51:40,3,3,42
10:07:20,3,3,45
10:08:40,3,3,45
10:10:00,3,3,48
10:11:20,3,3,48
10:12:40,3,3,51
10:14:00,3,3,51
10:15:20,3,3,54
10:16:40,3,3,54
10:18:00,3,3,57
10:19:20,3,3,57
10:20:40,3,3,60
10:22:00,3,3,60
10:23:20,3,3,63
10:24:40,3,3,63
11:40:20,3,3,66
11:41:40,3,3,66
11:43:00,3,3,69
11:44:20,3,3,69
11:45:40,3,3,72
11:47:00,3,3,72
11:48:20,3,3,75
11:49:40,3,3,75
11:51:00,3,3,78
11:52:20,3,3,78
11:53:40,3,3,81
11:55:00,3,3,81
11:56:20,3,3,84
11:57:40,3,3,84
13:13:20,3,3,87
13:14:40,3,3,87
13:16:00,3,3,90
13:17:20,3,3,90
13:18:40,3,3,93
13:20:00,3,3,93
13:21:20,3,3,96
13:22:40,3,3,96
13:24:00,3,3,99
13:25:20,3,3,99
13:26:40,3,3,102
13:28:00,3,3,102
13:29:20,3,3,105
13:30:40,3,3,105
14:46:20,3,3,108
14:47:40,3,3,108
14:49:00,3,3,111
14:50:20,3,3,111
14:51:40,3,3,114
14:53:00,3,3,114
14:54:20,3,3,117
14:55:40,3,3,117
14:57:00,3,3,120
14:58:20,3,3,120
14:59:40,3,3,123
15:01:00,3,3,123
15:02:20,3,3,126
15:03:40,3,3,126
16:19:20,3,3,129
16:20:40,3,3,129
16:22:00,3,3,132
16:23:20,3,3,132
16:24:40,3,3,135
16:26:00,3,3,135
16:27:20,3,3,138
16:28:40,3,3,138
16:30:00,3,3,141
16:31:20,3,3,141
16:32:40,3,3,144
16:34:00,3,3,144
16:35:20,3,3,147
16:36:40,3,3,147
17:52:20,3,3,150
17:53:40,3,3,150
17:55:00,3,3,153
17:56:20,3,3,153
17:57:40,3,3,156
17:59:00,3,3,156
18:00:20,3,3,159
18:01:40,3,3,159
18:03:00,3,3,162
18:04:20,3,3,162
18:05:40,3,3,165
18:07:00,3,3,165
18:08:20,3,3,168
18:09:40,3,3,168
19:25:20,3,3,171
19:26:40,3,3,171
19:28:00,3,3,174
19:29:20,3,3,174
19:30:40,3,3,177
19:32:00,3,3,177
19:33:20,3,3,180
19:34:40,3,3,180
19:36:00,3,3,183
19:37:20,3,3,183
19:38:40,3,3,186
19:40:00,3,3,186
19:41:20,3,3,189
19:42:40,3,3,189
20:58:20,3,3,192
20:59:40,3,3,192
21:01:00,3,3,195
21:02:20,3,3,195
21:03:40,3,3,198
21:05:00,3,3,198
21:06:20,3,3,201
21:07:40,3,3,201
21:09:00,3,3,204
21:10:20,3,3,204
21:11:40,3,3,207
21:13:00,3,3,207
21:14:20,3,3,210
21:15:40,3,3,210
22:31:20,3,3,213
22:32:40,3,3,213
22:34:00,3,3,216
22:35:20,3,3,216
22:36:40,3,3,219
22:38:00,3,3,219
22:39:20,3,3,222
22:40:40,3,3,222
22:42:00,3,3,225
22:43:20,3,3,225
22:44:40,3,3,228
22:46:00,3,3,228
22:47:20,3,3,231
22:48:40,3,3,231
