Time,BP Count,Customers Served (3 BP),Customers Served (2 BP),Customers Served (1 BP)
7:00:00,14,0,0,0
7:01:40,13,3,0,0
7:03:20,12,3,0,0
7:05:00,11,3,0,0
7:06:40,10,3,3,0
7:08:20,9,3,3,0
7:10:00,8,3,3,3
7:11:40,7,3,3,6
7:13:20,6,3,3,9
7:15:00,5,3,3,12
7:16:40,4,3,3,15
7:18:20,3,3,3,18
7:20:00,2,3,3,21
7:21:40,1,3,3,24
7:23:20,0,3,3,27
8:34:40,1,6,3,27
8:36:20,1,6,3,27
8:38:00,1,6,3,27
8:39:40,1,6,6,27
8:41:20,1,6,6,27
8:43:00,1,6,6,30
8:44:40,1,6,6,33
8:46:20,1,6,6,36
8:48:00,1,6,6,39
8:49:40,1,6,6,42
8:51:20,1,6,6,45
8:53:00,1,6,6,48
8:54:40,1,6,6,51
8:56:20,1,6,6,54
10:07:40,1,9,6,54
10:09:20,1,9,6,54
10:11:00,1,9,6,54
10:12:40,1,9,9,54
10:14:20,1,9,9,54
10:16:00,1,9,9,57
10:17:40,1,9,9,60
10:19:20,1,9,9,63
10:21:00,1,9,9,66
10:22:40,1,9,9,69
10:24:20,1,9,9,72
10:26:00,1,9,9,75
10:27:40,1,9,9,78
10:29:20,1,9,9,81
11:40:40,1,12,9,81
11:42:20,1,12,9,81
11:44:00,1,12,9,81
11:45:40,1,12,12,81
11:47:20,1,12,12,81
11:49:00,1,12,12,84
11:50:40,1,12,12,87
11:52:20,1,12,12,90
11:54:00,1,12,12,93
11:55:40,1,12,12,96
11:57:20,1,12,12,99
11:59:00,1,12,12,102
12:00:40,1,12,12,105
12:02:20,1,12,12,108
13:13:40,1,15,12,108
13:15:20,1,15,12,108
13:17:00,1,15,12,108
13:18:40,1,15,15,108
13:20:20,1,15,15,108
13:22:00,1,15,15,111
13:23:40,1,15,15,114
13:25:20,1,15,15,117
13:27:00,1,15,15,120
13:28:40,1,15,15,123
13:30:20,1,15,15,126
13:32:00,1,15,15,129
13:33:40,1,15,15,132
13:35:20,1,15,15,135
14:46:40,1,18,15,135
14:48:20,1,18,15,135
14:50:00,1,18,15,135
14:51:40,1,18,18,135
14:53:20,1,18,18,135
14:55:00,1,18,18,138
14:56:40,1,18,18,141
14:58:20,1,18,18,144
15:00:00,1,18,18,147
15:01:40,1,18,18,150
15:03:20,1,18,18,153
15:05:00,1,18,18,156
15:06:40,1,18,18,159
15:08:20,1,18,18,162
16:19:40,1,21,18,162
16:21:20,1,21,18,162
16:23:00,1,21,18,162
16:24:40,1,21,21,162
16:26:20,1,21,21,162
16:28:00,1,21,21,165
16:29:40,1,21,21,168
16:31:20,1,21,21,171
16:33:00,1,21,21,174
16:34:40,1,21,21,177
16:36:20,1,21,21,180
16:38:00,1,21,21,183
16:39:40,1,21,21,186
16:41:20,1,21,21,189
17:52:40,1,24,21,189
17:54:20,1,24,21,189
17:56:00,1,24,21,189
17:57:40,1,24,24,189
17:59:20,1,24,24,189
18:01:00,1,24,24,192
18:02:40,1,24,24,195
18:04:20,1,24,24,198
18:06:00,1,24,24,201
18:07:40,1,24,24,204
18:09:20,1,24,24,207
18:11:00,1,24,24,210
18:12:40,1,24,24,213
18:14:20,1,24,24,216
19:25:40,1,27,24,216
19:27:20,1,27,24,216
19:29:00,1,27,24,216
19:30:40,1,27,27,216
19:32:20,1,27,27,216
19:34:00,1,27,27,219
19:35:40,1,27,27,222
19:37:20,1,27,27,225
19:39:00,1,27,27,228
19:40:40,1,27,27,231
19:42:20,1,27,27,234
19:44:00,1,27,27,237
19:45:40,1,27,27,240
19:47:20,1,27,27,243
20:58:40,1,30,27,243
21:00:20,1,30,27,243
21:02:00,1,30,27,243
21:03:40,1,30,30,243
21:05:20,1,30,30,243
21:07:00,1,30,30,246
21:08:40,1,30,30,249
21:10:20,1,30,30,252
21:12:00,1,30,30,255
21:13:40,1,30,30,258
21:15:20,1,30,30,261
21:17:00,1,30,30,264
21:18:40,1,30,30,267
21:20:20,1,30,30,270
22:31:40,1,33,30,270
22:33:20,1,33,30,270
22:35:00,1,33,30,270
22:36:40,1,33,33,270
22:38:20,1,33,33,270
22:40:00,1,33,33,273
22:41:40,1,33,33,276
22:43:20,1,33,33,279
22:45:00,1,33,33,282
22:46:40,1,33,33,285
22:48:20,1,33,33,288
22:50:00,1,33,33,291
22:51:40,1,33,33,294
22:53:20,1,33,33,297
